"Address","C.SH","jensiat","sen","savad","m.t.s","v.f.s","N.T.M","T.O","S.Z","M.O.B","OTO","MO","DO","ZABT","TV","PC","TEL.H","OJAGH.GAZ","JAROO.B","MASHIN.L","CHARKH.KH","PANKE","MASHIN.Z","H.KHORAKI.NOOSHIDANI","H.ERTEBATAT","H.BEHDASHT","H.HAMLONAGHL","H.KALA.MOT","H.MASKAN","H.MOBLEMAN","H.POOSHAK","KHARID.KALA.BADAVAM","H.SARMAYEGOZARI","M.DARAMAD.NAKH","HOOGHOOGH.MOSTAMAR","GH.MOSTAMAR","M.DARAMAD.KH","DARYAFTI.NAKH.F","DARAMAD.M.KH.1","DARAMAD.M.KH.2","DARAMAD.M.KH.3","DARAMAD.M.KH.4","M.INCOME","DAHAK","DAHAK10"
12301269121,23,1,22,1,2,1,3,2,50,1,0,0,0,0,1,0,1,1,1,1,0,0,0,21420000,420000,2400000,450000,1850000,14275000,1280000,1750000,154880000,0,2.4e+08,0,0,0,0,0,3600000,1.1e+09,0,1343600000,6,0
12301277923,23,1,22,1,6,1,3,3,53,0,0,0,0,0,1,1,1,1,0,1,0,1,0,9060000,1e+06,0,2e+06,1e+06,30700000,1230000,10400000,3430000,0,0,4.2e+08,0,0,0,0,0,0,20640000,440640000,2,0
12301279032,23,1,23,1,2,1,3,1,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9835000,750000,5e+07,3e+05,440000,7550000,0,1e+05,519050000,0,1173600000,1211520000,1.5e+07,0,0,0,2e+06,0,17810000,2419930000,9,0
12303286032,23,1,23,1,2,1,3,4,75,0,0,0,0,0,1,0,1,1,1,1,0,0,0,6670000,6e+05,1120000,350000,1400000,11410000,405000,0,335471000,0,0,5.9e+08,0,1.8e+08,0,0,1960000,0,30640000,802600000,4,0
12310289523,23,2,23,1,4,1,3,3,60,0,0,0,0,0,1,0,1,1,1,1,0,0,0,15729000,1500000,5.2e+07,3400000,240000,16030000,1700000,0,180100000,0,1.7e+08,4.2e+08,0,0,0,0,16500000,0,1e+07,616500000,3,0
12301274435,23,2,25,1,2,5,3,3,65,0,0,0,0,0,1,0,1,1,1,1,0,0,0,10215004,150000,0,1e+06,150000,30815000,3410000,2500000,477100000,0,6.39e+08,2.1e+08,0,0,0,0,0,0,6e+07,9.09e+08,4,0
12301278827,23,1,25,2,0,1,4,3,50,0,0,1,0,0,1,0,1,1,0,1,0,0,0,3193000,890000,0,8e+05,150000,28520000,6e+05,4e+05,386350000,0,5.8e+08,0,0,4.8e+08,5.5e+08,0,0,0,33460000,1643460000,7,0
12301282435,23,1,25,2,0,1,4,3,50,0,0,0,0,0,1,0,1,1,1,0,0,0,0,10565000,1380000,5e+05,3e+05,2250000,19750000,1570000,5600000,166280000,0,0,343200000,0,7.4e+08,2.2e+08,0,4e+06,0,30640000,1337840000,6,0
12306286720,23,1,25,1,2,1,6,3,70,1,1,0,0,0,1,0,1,1,1,1,0,0,0,69500000,2e+05,5e+05,0,1450000,10345000,1040000,140000,35318000,0,2.307e+09,3.8e+08,8e+07,3e+08,3.9e+09,0,0,0,12360000,6979360000,10,1
12312289729,23,1,25,1,4,1,6,3,80,0,0,0,0,0,1,0,1,1,1,1,1,0,0,11124000,6e+05,4450000,1400000,1550000,9720000,1720000,3500000,9700000,0,0,0,0,491625000,0,0,0,4.75e+08,1e+07,976625000,5,0
12316288223,23,1,25,1,2,1,4,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,27057000,7e+05,21900000,1800000,7e+05,11690000,1100000,0,20530000,0,0,0,0,7.72e+08,0,0,0,1.512e+09,12360000,2296360000,9,0
12319292732,23,1,25,1,2,1,4,3,75,0,0,0,0,0,1,0,1,1,1,0,0,0,0,34776000,940000,1e+06,5e+05,4e+05,16700000,590000,3e+05,144023045,0,4e+08,0,0,0,0,0,0,4.11e+08,24640000,835640000,4,0
