jensiat,sen,savad,m.t.s,v.f.s,N.T.M,T.O,S.Z,M.O.B,OTO,MO,DO,ZABT,TV,PC,TEL.H,OJAGH.GAZ,JAROO.B,MASHIN.L,CHARKH.KH,PANKE,MASHIN.Z,H.KHORAKI.NOOSHIDANI,H.ERTEBATAT,H.BEHDASHT,H.HAMLONAGHL,H.KALA.MOT,H.MASKAN,H.MOBLEMAN,H.POOSHAK,KHARID.KALA.BADAVAM,H.SARMAYEGOZARI,DAHAK10
1,22,1,2,1,3,2,50,1,0,0,0,0,1,0,1,1,1,1,0,0,0,21420000,420000,2400000,450000,1850000,14275000,1280000,1750000,154880000,0,0
1,22,1,6,1,3,3,53,0,0,0,0,0,1,1,1,1,0,1,0,1,0,9060000,1.00E+06,0,2.00E+06,1.00E+06,30700000,1230000,10400000,3430000,0,0
1,23,1,2,1,3,1,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9835000,750000,5.00E+07,3.00E+05,440000,7550000,0,1.00E+05,519050000,0,0
1,23,1,2,1,3,4,75,0,0,0,0,0,1,0,1,1,1,1,0,0,0,6670000,6.00E+05,1120000,350000,1400000,11410000,405000,0,335471000,0,0
2,23,1,4,1,3,3,60,0,0,0,0,0,1,0,1,1,1,1,0,0,0,15729000,1500000,5.20E+07,3400000,240000,16030000,1700000,0,180100000,0,0
2,25,1,2,5,3,3,65,0,0,0,0,0,1,0,1,1,1,1,0,0,0,10215004,150000,0,1.00E+06,150000,30815000,3410000,2500000,477100000,0,0
1,25,2,0,1,4,3,50,0,0,1,0,0,1,0,1,1,0,1,0,0,0,3193000,890000,0,8.00E+05,150000,28520000,6.00E+05,4.00E+05,386350000,0,0
1,25,2,0,1,4,3,50,0,0,0,0,0,1,0,1,1,1,0,0,0,0,10565000,1380000,5.00E+05,3.00E+05,2250000,19750000,1570000,5600000,166280000,0,0
1,25,1,2,1,6,3,70,1,1,0,0,0,1,0,1,1,1,1,0,0,0,69500000,2.00E+05,5.00E+05,0,1450000,10345000,1040000,140000,35318000,0,1
1,25,1,4,1,6,3,80,0,0,0,0,0,1,0,1,1,1,1,1,0,0,11124000,6.00E+05,4450000,1400000,1550000,9720000,1720000,3500000,9700000,0,0
1,25,1,2,1,4,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,27057000,7.00E+05,21900000,1800000,7.00E+05,11690000,1100000,0,20530000,0,0
1,25,1,2,1,4,3,75,0,0,0,0,0,1,0,1,1,1,0,0,0,0,34776000,940000,1.00E+06,5.00E+05,4.00E+05,16700000,590000,3.00E+05,144023045,0,0
